Title,Ingredients,Loves,food_id,tipe,not include
Udang Goreng Bawang,"udang tanpa kepala,   air jeruk nipis, haluskan ,   bawang putih,   garam,  minyak goreng,",21,12510,"jeruk, bawang putih",4
Bakwan sayur jagung+udang,"jagung yg di pretelin,   wortel di   sesuai selera,  ons udang sedang di  kulitnya,   seledri,   daun bawang,   bawang putih,  biji kemiri,  biji merica,  sendok teh garam,  royco rasa ayam,  tepung terigu,  sendok tepung beras cap mawar,  air dingin,   minyak untuk menggoreng,",2,12511,"daun bawang, wortel, bawang putih, jagung",10
Tumis Udang Brokoli,"biji udang kupas, ukuran kecil brokoli,   bawang merah,   bawang putih, kecap asin , sedikit angciu , garam, lada,",20,12512,"kol, bawang merah, bawang putih, brokoli",5
"Udang Krispi, Sambal Jawa","udang besar,  btr telur, tepung,  sambal,  cabai rawit,  cabai merah,   bawang merah,   bawang putih,   tomat,  garam,  gula jawa, kemangi,",2,12513,"telur, cabai, tomat, bawang merah, bawang putih",6
Udang saos tiram,"udang uk sedang,   bawang putih cincang kasar,   saos tiram , minyak makan  ,  kecap manis, bawang goreng,",4,12514,bawang putih,5
🍤Udang Goreng Mentega🍳,"udang,  bagian bawang bombay,   tipis,   bawang putih,  geprek cincang kasar,  lada putih bubuk,   daun bawang,    cm,   mentega utk menumis,  minyak wijen,  kecap inggris,  saus tiram,  garam,",12,12515,"bawang bombay, daun bawang, bawang putih",10
Tumis udang&sayur pedas,"udang kupas,   baby corn ,   buncis ,  ,   bawang merah,   bawang putih,  cabai keriting, cabai rawit ,   jahe,   laos, garam dan penyedap, minyak goreng untuk menumis,",34,12516,"cabai, bawang merah, bawang putih, jahe",7
Fuyunghai udang,"telor ayam,   udang kupas cincang kasar sendok udang cincang kasar,   tepung terigu,   tepung sagu,   garam,   kaldu jamur,   lada,  lt minyak goreng,   wortel,   dadu,  rebus,  tiriskan,   kol,   tipis,",3,12517,"kol, wortel",12
Brokoli Udang Saus Tiram,"brokoli kecil  per kuntum dan  batangnya,  pcs udang bersihkan kulit dan punggungnya,   bawang putih geprek,   cabai keriting  miring,   tepung tapioka,   air,   minyak sayur,  marinasi udang ,   bawang putih cincang halus,   cooking wine boleh skip,   kecap asin, sejumput lada dan gula pasir,  masak ,   saus tiram,   kecap asin, sejumput garam,  gula,  dan lada,",29,12518,"cabai, kol, bawang putih, brokoli",14
Udang Tahu Pedas Asam Manis,"udang,   kepalanya,  cuci bersih,   tahu,   stick,  goreng setengah matang,   bawang bombay,  ,   bawang putih,  ,   cabe merah,  ,   cabe hijau,  ,   cabe rawit,  ,   saos sambal,   saos tomat,   air,  garam,  gula,  kaldu bubuk,  minyak goreng,",6,12519,"tomat, bawang bombay, bawang putih, tahu",19
Sup Bakso Udang Ijo,"tepung sagu tani,   udang,  sisihkan kulit dan kepala untuk kaldu,   ayam bagian isi,  ons sawi hijau,   wortel,   kecil,   jagung,  diambil bijinya,  btr telor,  ambil putih saja,   misoa,  direndam,   daun bawang,   bawang putih,   daun salam,   daun jeruk,   tomat,   air,  garam,  merica,",2,12520,"jeruk, tomat, daun bawang, wortel, bawang putih, jagung",15
Udang Asam Manis Sederhana,"lemon cina,   saos tomat,   garam,   gula,   bubuk merica,  sdtvbubuk lada,   minyak goreng,   udang,",6,12521,"tomat, lemon",6
Balado Kentang Udang,",   kentang,   dadu,  lalu goreng hingga matang,   udang,   kapri,   daun jeruk,  garam dan merica,   gula jawa,  disisir,   kecap, minyak untuk menumis,  halus,   bawang putih,   bawang merah,   cabe merah keriting,   cabe merah besar,",12,12522,"jeruk, kentang, bawang merah, bawang putih",13
Sambel goreng udang plus terong 😊😊,"udang  kulit sisakan ekornya,   terong kecil  dan belah jadi bagian,  halus,   bawang merah,   bawang putih,   cabe keriting, gula, garam, merica bubuk,   minyak goreng,",12,12523,"terong, bawang merah, bawang putih",7
Shrimp Roll tanpa Kulit,"udang kupas ,   tepung tapioka,   tepung terigu,   wortel uk sedang ,   bawang putih berukuran besar haluskan,   telur,    minyak wijen,    ngohiong,  garam dan lada bubuk,  pelapis ,   telur kocok lepas,  tepung roti,",4,12524,"telur, wortel, bawang putih",8
Udang Krispi,"udang kecil,   tepung ,  halus ,   bawang putih,   ketumbar utuh,  cm kunyit,   garam,",13,12525,bawang putih,6
Udang garing saus asam manis,"udang segar,   tepung serbaguna,  saus,   kecil bawang putih,   saus tomat,   saus cabe,   kecap asin,   saus teriyaki,   terigu larutkan dg air,",3,12526,"tomat, bawang putih",7
Udang/Ayam Asam Manis,"g udang ,   jeruk nipis ambil air perasannya ,   tomat merah ,   bawang putih  tipis,   bawang bombay ,   wortel  tipis dan panjang ,   saus sambal ,   air,   gula,   garam,   tepung maizena ditambah  air ,",8,12527,"jeruk, tomat, bawang bombay, wortel, bawang putih",6
Udang tahu sambel trasi,"kotak tahu putih,  ons udang,  cabe merah,  cabe rawit,   trasi, garam, gula jawa,",0,12528,tahu,6
Udang madu saus tiram,"udang,   madu,   bawang bombang,   bawang putih, daun bawang,   garam,   lada,   saus tiram,   blue band, sedikit air kaldu,   gula pasir,",6,12529,"daun bawang, bawang putih",9
Tumis udang baby corn,"g udang,   baby corn,   wortel,   bawang putih,   bawang merah,   cabai hijau,   lengkuas,   daun salam,   saos tiram,  gula dan garam,",6,12530,"lengkuas, cabai, bawang merah, wortel, bawang putih",5
Udang Pete Cabe Ala Mama Kina,"udang segar,  pcs cabe ijo ,   tomat ,  papan pete, gula, garam, minyak, air, penyedap rasa ,  uleg kasar ,   bawang merah,   bawang putih,   cabe merah ,   cabe rawit merah ,",9,12531,"tomat, bawang merah, bawang putih",11
Rempeyek Udang,"udang,   tepung tapioka,   tepung beras,   daun jeruk,  air,  halus,   bawang putih,   kemiri,  cm jahe,  cm kunyit,   ketumbar,  garam,  gula dan merica,",2,12532,"jeruk, bawang putih, jahe",10
Bakwan jagung udang,"jagung manis,   udang,  tahu,  telur, wortel , duo bawang, daun bawang, lada hitam, merica, garam, gula, tepung bakwan,  air dingin,",1,12533,"telur, daun bawang, wortel, jagung, tahu",8
Udang Tepung Roti,"udang, tepung roti, tepung kobetepung serbaguna, merica,  garam,",10,12534,0,5
Oseng-oseng putih telor udang makyus😋,"putih telor, udang,   bawang merah,   bawang putih, sesuai selera cabe, garam, gula, saori, masako, kecap, ,",43,12535,"bawang merah, bawang putih",9
Udang Asam manis sederhana,"udang,   ttomat,   cabe merah,   bawang merah,   bawang putih, saos cabe abc, gula, minyak goreng, air,",2,12536,"tomat, bawang merah, bawang putih",6
Garlic Rice with Shrimp ball and Fresh Kimchi,"nasi putih,   bawang putih, olive oil, shrimp ball kemasan, sawi putih , cabe merah giling,   bawang merah, garam,",10,12537,"sawi putih, bawang merah, bawang putih, nasi putih",4
Udang Pedas Manis,"udang,   bawang merah,   bawang putih,  cabe keriting,  cabe rawit,  gula,   kecap,   saus tomat,  garam, penyedap rasa ,  air, ,",12,12538,"tomat, bawang merah, bawang putih",9
Oseng Kacang panjang dan udang,"kacang panjang   sesuai selera,  dan cuci bersih,   udang kupas cuci bersih,   bawang putih diiris tipis,   bawang merah diiris tipis,   cabai keriting merah diiris menyamping,   merica bubuk,   saos tiram,   air putih,",6,12539,"cabai, bawang merah, bawang putih",6
Udang Barbeque (with sayur brokoli and pentol),"udang,  bawang bombay,   bawang putih,   bawang merah,   tomat,  sayur brokoli,  gula,  penyedap,  saset  barbeque,",2,12540,"tomat, bawang bombay, kol, bawang merah, bawang putih, brokoli",4
Bakwan udang,"terigu,   tepung beras,   udang,   wortel ,   kol ,   daun bawang, ,   merica bubuk,   bawang putih,   bawang merah,   royco, garam,",12,12541,"daun bawang, kol, bawang merah, wortel, bawang putih",7
Rempeyek udang 03,"ons udang,  ons tepung beras,   santan kental ,   bawang,   garam,   ketumbar,   minyak, air,",9,12542,0,8
Udang pedas manis,"udang,   bawang merah,   bawang putih,   bawang putih ,   cabai merah kriting,   cabai merah ,   cabai rawit,   saos tomat,  gula, garam dan sasa,  air,  kecap manis,  minyak,",1,12543,"cabai, tomat, bawang merah, bawang putih",6
Tumis Udang Saos Tiram,"udang gala,  biji jeruk nipis ,  tumis ,   bawang putih,  biji bawang bombay,  tomat merah segar,  biji cabai merah,  biji cabe kecil ,   lengkuas,   saos tiram ,   rajarasa,   garam,   gula,   minyak goreng,   air putih,",2,12544,"lengkuas, cabai, jeruk, tomat, bawang bombay, bawang putih",9
Oseng udang sungai,"udang sungai ,   cabe rawit,  diulek kasar,   bawang putih,   bawang merah,   daun jeruk,   tomat , guka merah, garam, minyak untuk menumis,",4,12545,"jeruk, tomat, bawang merah, bawang putih",6
Udang Saos Tiram,"udang ,   bawang putih ,   bawang bombai ,   saos tiram cap panda,   kecap manis,  garam,  minyak goreng,   air matang,",9,12546,bawang putih,7
86. Tumis Kangkung Udang,"kangkung,  petik siangi,   bawang merah,  ,   bawang putih,  ,  bg cabai merah,   serong,   tomat,  ,   saus tiram,  udang,  garam dan gula,  minyak untuk menumis,",52,12547,"cabai, tomat, bawang merah, bawang putih, kangkung",9
Udang Garo Rica Pedas,"udang,   kentang,   jeruk nipis,   bawang merah,   bawang putih,   cabe keriting,   cabe rawit merah,   daun jeruk,   serei digeplek,   jahe digeplek,   tomat,   daun bawang,   seledri,   garam,   gula pasir,   air putih,",25,12548,"jeruk, kentang, tomat, daun bawang, bawang merah, bawang putih, jahe",8
Sayur Tahu Labu Udang,"udang,   labu,   tahu kuning,   lengkuas,  geprek,   daun salam, sedikit terasi,  kunyit bubuk,  sachet santan kara, garam, gula,    ,   bawang putih,   bawang merah uk agak besar,  daun bawang,",37,12549,"lengkuas, daun bawang, bawang merah, labu, bawang putih, tahu",9
Crispy shrimp,"udang besar,  tepung kanji,  tepung terigu,   telur,   kaldu bubuk ,  minyak goreng,",4,12550,telur,5
Sambal Goreng Udang Kentang,"udang,  kupas,   kentang,   dadu,  cm lengkuas,  geprek,  halus,   bawang merah,   bawang putih,   cabe rawit merah,   cabe keriting,  cm terasi,  cm kunyit, garam,  gula,  merica bubuk, beri sedikit air ,",8,12551,"lengkuas, kentang, bawang merah, bawang putih",13
Udang ca sayuran,"udang,   baby corn  serong,   wortel  serong,   buncis  serong,   bawang bombay  tipis,   bawang putih geprek,   cabe keriting  tipis,   daun bawang ,  garam,  gula,  merica bubuk,   saos tiram,   air,",1,12552,"bawang bombay, daun bawang, wortel, bawang putih",9
Dumpling/gyoza udang,"adonan isi ,  g udang,   kepala dan kulit ,   daun bawang ,   sawi ,  sm minyak wijen,  st garam,  st mrica,  st kaldu bubuk,  sm tepung tapioka,   bawang putih,  sm saus tiram,   jahe ,   telur ayam,  st pala bubuk,  sm kecap asin,  tambahan ,  sm minyak goreng ,   air, kulit pangsit, saos pedas,",8,12553,"telur, daun bawang, bawang putih, jahe",17
Tumis Udang Sederhana dan Enak,"udang,   cabe merah,   cabe hijau,   tomat ,   bawang putih,   bawang merah, sedikit mentega,  gula dan garam,",37,12554,"tomat, bawang merah, bawang putih",5
Udang tahu saus padang,"udang,   jeruk nipis,   telur ayam,  kocok lepas,   saos tomat,   saos sambal,   saos tiram,  jagung manis,   menjadi ,  garam gula,   bawang bombay,  ,   daun salam,   daun jeruk,   air,   tahu besar ,  halus ,   bawang merah,   bawang putih,  cm jahe,  cm kunyit,   kemiri goreng,   cabe keriting,   cabe rawit,",61,12555,"telur, jeruk, tomat, bawang bombay, bawang merah, bawang putih, jagung, tahu, jahe",14
Balado Udang,"udang agak besar,  kentang besar,  kupas,   dadu,   sereh,  geprek ,   salam,  sobek,   daun jeruk,   halus,   air jeruk nipis,   gula merah,   sisir,   haluskan ,  bawang merah,  cabe merah keriting,  cabe merah besar,  garam,",4,12556,"jeruk, kentang, bawang merah",14
Sambal goreng udang petai,"udang,   petai,   serai,   lengkuas,   daun jeruk,   daun salam,   kecap,  garam, gula, penyedap,  halus,   bawang merah,   bawang putih,   kemiri,   jahe,  cabe merah,  cabe rawit ,  garam,  gula,  penyedap, minyak,",31,12557,"lengkuas, jeruk, bawang merah, bawang putih, jahe",16
Sayur Bobor kale udang (gulai kale udang),"daun kale,   shalot besar,   garlic ,   cabe rawit besar,   kemiri,   ketumbar,  cm galangal ,   bay leaves ,   daun jeruk, gula, garam,  coconut milk in can , segenggam udang frozen untuk kaldu,",4,12558,jeruk,12
Sambal Goreng Udang Galah dan Pete,"udang galah ukuran sedang,  pete,  halus ,  cabe merah,   bawang merah,   bawang putih,  garam penyedap,",9,12559,"bawang merah, bawang putih",5
Shrimp garlic / udang tumis bawang putih,"udang kupas,   bawang putih haluskan,   saos tiram, kecap asin ,",2,12560,bawang putih,3
